eur_pln,usd_pln,rate_date
4.4586,4.0592,2023-08-09
4.4650,4.0521,2023-08-10
4.4547,4.0501,2023-08-11
4.4361,4.0525,2023-08-14
4.4621,4.0832,2023-08-16
4.4681,4.1094,2023-08-17
4.4869,4.1285,2023-08-18
4.4768,4.1124,2023-08-21
4.4648,4.0924,2023-08-22
4.4834,4.1438,2023-08-23
4.4730,4.1180,2023-08-24
4.4674,4.1419,2023-08-25
4.4716,4.1400,2023-08-28
4.4690,4.1341,2023-08-29
4.4740,4.1167,2023-08-30
4.4684,4.1074,2023-08-31
4.4762,4.1263,2023-09-01
4.4653,4.1353,2023-09-04
4.4764,4.1643,2023-09-05
4.4974,4.1895,2023-09-06
4.5940,4.2890,2023-09-07
4.6019,4.2958,2023-09-08
4.6209,4.3077,2023-09-11
4.6836,4.3711,2023-09-12
4.6402,4.3225,2023-09-13
4.6285,4.3120,2023-09-14
4.6307,4.3418,2023-09-15
4.6377,4.3489,2023-09-18
4.6458,4.3472,2023-09-19
4.6529,4.3501,2023-09-20
4.6210,4.3365,2023-09-21
4.6069,4.3269,2023-09-22
4.5892,4.3188,2023-09-25
4.6077,4.3485,2023-09-26
4.6065,4.3622,2023-09-27
4.6340,4.4062,2023-09-28
4.6356,4.3697,2023-09-29
4.6091,4.3634,2023-10-02
4.6147,4.4012,2023-10-03
4.6303,4.4155,2023-10-04
4.5974,4.3768,2023-10-05
4.5998,4.3608,2023-10-06
4.5793,4.3439,2023-10-09
4.5581,4.2985,2023-10-10
4.5183,4.2589,2023-10-11
4.5329,4.2659,2023-10-12
4.5417,4.3033,2023-10-13
4.4804,4.2505,2023-10-16
4.4389,4.2131,2023-10-17
4.4488,4.2035,2023-10-18
4.4529,4.2264,2023-10-19
4.4675,4.2194,2023-10-20
4.4552,4.2022,2023-10-23
4.4604,4.1884,2023-10-24
4.4758,4.2284,2023-10-25
4.4708,4.2395,2023-10-26
4.4642,4.2267,2023-10-27
4.4491,4.2040,2023-10-30
4.4475,4.1684,2023-10-31
4.4582,4.1963,2023-11-02
4.4569,4.1857,2023-11-03
4.4615,4.1512,2023-11-06
4.4513,4.1667,2023-11-07
4.4584,4.1804,2023-11-08
4.4413,4.1513,2023-11-09
4.4227,4.1423,2023-11-10
4.4336,4.1474,2023-11-13
4.4163,4.1210,2023-11-14
4.3900,4.0453,2023-11-15
4.3854,4.0415,2023-11-16
4.3767,4.0327,2023-11-17
4.3680,3.9938,2023-11-20
4.3647,3.9882,2023-11-21
4.3804,4.0180,2023-11-22
4.3658,3.9969,2023-11-23
4.3722,4.0103,2023-11-24
4.3543,3.9769,2023-11-27
4.3542,3.9750,2023-11-28
4.3327,3.9478,2023-11-29
4.3492,3.9810,2023-11-30
4.3494,3.9910,2023-12-01
4.3337,3.9850,2023-12-04
4.3233,3.9910,2023-12-05
4.3382,4.0202,2023-12-06
4.3334,4.0199,2023-12-07
4.3303,4.0181,2023-12-08
4.3366,4.0277,2023-12-11
4.3396,4.0204,2023-12-12
4.3309,4.0149,2023-12-13
4.3053,3.9484,2023-12-14
4.3053,3.9484,2023-12-14
